
//Index   ItemIndex   DefenseConstA   IncDamageConstA   IncDamageConstB   DecDamageConstA   DecDamageConstB   OptionIndex1   OptionValue1   OptionIndex2   OptionValue2   OptionIndex3   OptionValue3   NewOptionIndex1   NewOptionValue1   NewOptionIndex2   NewOptionValue2   NewOptionIndex3   NewOptionValue3   NewOptionIndex4   NewOptionValue4   ModelType   ModelName
123      6466          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
124      6467          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
125      6468          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
126      6469          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
127      6470          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
128      6471          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
129      6472          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
130      6473          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
131      6474          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
132      6475          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
133      6476          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
134      6477          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
135      6478          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
136      6479          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
137      6480          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
138      6481          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
139      6482          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
140      6483          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
141      6484          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
142      6485          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
143      6486          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
144      6487          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
145      6488          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
146      6489          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
147      6490          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
148      6491          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
149      6492          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
150      6493          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
151      6494          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
152      6495          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
153      6496          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
154      6497          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
155      6498          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
156      6499          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
157      6500          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
158      6501          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
159      6502          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
160      6503          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
161      6504          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
162      6505          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
163      6506          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
164      6507          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
165      6508          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
166      6509          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
167      6510          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
168      6511          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
169      6512          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
170      6513          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
171      6514          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
172      6515          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
173      6516          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
174      6517          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
175      6518          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
176      6519          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
177      6520          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
178      6521          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
179      6522          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
180      6523          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
181      6524          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
182      6525          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
183      6526          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
184      6527          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
185      6528          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
186      6529          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
187      6530          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
188      6531          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
189      6532          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
190      6533          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
191      6534          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
192      6535          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
193      6536          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
194      6537          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
195      6538          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
196      6539          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
197      6540          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
198      6541          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
199      6542          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
200      6543          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
201      6544          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
202      6545          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
203      6546          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
204      6547          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
205      6548          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
206      6549          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
207      6550          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
208      6551          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
209      6552          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
210      6553          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
211      6554          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
212      6555          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
213      6556          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
214      6557          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
215      6558          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
216      6559          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
217      6560          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
218      6561          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
219      6562          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
220      6563          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
221      6564          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
222      6565          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
223      6566          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
224      6567          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
225      6568          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
226      6569          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
227      6570          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
228      6571          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
229      6572          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
230      6573          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
231      6574          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
232      6575          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
233      6576          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
234      6577          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
235      6578          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
236      6579          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
237      6580          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
238      6581          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
239      6582          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
240      6583          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
241      6584          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
242      6585          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
243      6586          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
244      6587          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
245      6588          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
246      6589          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
247      6590          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
248      6591          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
249      6592          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
250      6593          4               139               2                 61                2                 80             4              85             1              83             4              110               5                 111               5                 109               5                 108               5                 0          ""
