00:12:22 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
14:20:24 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
14:20:50 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
14:38:20 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
14:38:38 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
14:40:35 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
14:40:53 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
17:48:20 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
17:48:26 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.240, GameServerCode: 1)
17:48:46 [AccountInfo] Account disconnected (Account: wall, IpAddress: 179.42.110.240, GameServerCode: 1)
17:48:53 [AccountInfo] Account connected (Account: enctype, IpAddress: 179.42.110.240, GameServerCode: 1)
18:34:15 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 179.42.110.240, GameServerCode: 1)
18:34:47 [AccountInfo] Account connected (Account: enctype, IpAddress: 179.42.110.240, GameServerCode: 1)
18:36:20 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 179.42.110.240, GameServerCode: 1)
18:36:24 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
18:37:17 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.240, GameServerCode: 1)
18:45:39 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
18:45:39 [AccountInfo] Account disconnected (Account: wall, IpAddress: 179.42.110.240, GameServerCode: 1)
18:46:16 [AccountInfo] Account connected (Account: wall, IpAddress: 179.42.110.240, GameServerCode: 1)
18:46:25 [AccountInfo] Account disconnected (Account: wall, IpAddress: 179.42.110.240, GameServerCode: 1)
18:46:29 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
18:51:01 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
18:51:41 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
19:55:41 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
20:34:25 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
20:44:42 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
20:45:01 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
20:49:20 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
20:50:00 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
20:51:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
21:32:39 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
21:39:44 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
21:40:13 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
21:56:20 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
21:57:46 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
22:06:10 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
22:06:34 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
22:08:27 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
22:08:44 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:16:25 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:16:41 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:18:11 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:18:29 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:19:40 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:20:01 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:23:36 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:23:51 [AccountInfo] Account connected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
23:28:27 [AccountInfo] Account disconnected (Account: admin, IpAddress: 179.42.110.240, GameServerCode: 1)
