00:00:25 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:38:43 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:38:56 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:39:10 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:39:29 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:40:12 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:40:23 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:42:01 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:42:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:43:03 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:51:36 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
13:59:03 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
13:59:36 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
14:07:11 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
14:10:35 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
14:10:45 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
14:15:13 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
14:43:56 [AccountInfo] Account disconnected by clear (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
14:44:35 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
14:44:36 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
14:45:01 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
14:45:01 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
14:45:04 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 40)
14:48:24 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 40)
14:48:32 [AccountInfo] Account connected (Account: wall, IpAddress: 38.43.85.151, GameServerCode: 40)
14:48:32 [AccountInfo] Account disconnected (Account: wall, IpAddress: 38.43.85.151, GameServerCode: 40)
14:48:38 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
14:48:38 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
14:49:26 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
15:25:09 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
15:25:13 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
16:45:29 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
16:46:07 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
20:54:08 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
20:54:11 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
20:54:28 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
20:54:33 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
20:58:22 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
20:59:25 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
21:03:43 [AccountInfo] Account connected (Account: admin, IpAddress: 187.180.188.111, GameServerCode: 6)
21:05:33 [AccountInfo] Account connected (Account: wall, IpAddress: 187.180.188.111, GameServerCode: 6)
22:07:10 [AccountInfo] Account disconnected (Account: wall, IpAddress: 187.180.188.111, GameServerCode: 6)
22:57:40 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
22:58:20 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
22:58:37 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
23:00:13 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
23:04:31 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
23:04:57 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
23:14:29 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
23:14:36 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
23:59:52 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
