00:03:27 [AccountInfo] Account disconnected by clear (Account: wall4, IpAddress: 177.39.98.23, GameServerCode: 1)
18:16:25 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
18:16:50 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
18:52:03 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
18:52:22 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
19:22:57 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
19:23:11 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
19:24:57 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
19:25:11 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
19:26:54 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
19:27:51 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
19:29:19 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
20:53:33 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:01:33 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:01:56 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:04:24 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:05:12 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:09:23 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:09:57 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:14:08 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:14:33 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:23:21 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:28:35 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
21:37:37 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
21:46:26 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
21:47:31 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
21:51:16 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
21:51:36 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
22:04:19 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
22:05:27 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
22:07:11 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
22:07:26 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
22:09:54 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
22:15:51 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
22:34:45 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
22:51:05 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
22:52:04 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 1)
23:09:26 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:10:39 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:11:11 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:11:44 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:11:44 [AccountInfo] Account disconnected by clear (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
23:12:24 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:16:39 [AccountInfo] Account connected (Account: ymarchiori, IpAddress: 177.45.42.219, GameServerCode: 1)
23:18:45 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:19:10 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:21:37 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:26:53 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:35:31 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
23:35:46 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.23, GameServerCode: 1)
