00:00:01 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 177.39.98.14, GameServerCode: 40)
01:21:22 [AccountInfo] Account connected (Account: hard, IpAddress: 177.39.98.14, GameServerCode: 6)
01:23:43 [AccountInfo] Account disconnected by clear (Account: hard, IpAddress: 177.39.98.14, GameServerCode: 6)
01:23:43 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
01:24:23 [AccountInfo] Account connected (Account: hard, IpAddress: 177.39.98.14, GameServerCode: 6)
01:24:23 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
01:50:02 [AccountInfo] Account disconnected (Account: hard, IpAddress: 177.39.98.14, GameServerCode: 6)
01:59:33 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
01:59:50 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
02:00:34 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
02:00:39 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
12:40:42 [AccountInfo] Account connected (Account: nyck1533, IpAddress: 186.251.213.196, GameServerCode: 6)
12:41:04 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 6)
12:41:39 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
12:45:05 [AccountInfo] Account disconnected (Account: nyck1533, IpAddress: 186.251.213.196, GameServerCode: 6)
12:49:32 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
12:49:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
12:53:18 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
12:53:26 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
12:57:53 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
12:58:12 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:27:11 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:27:20 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:32:46 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:33:10 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:36:47 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:36:58 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:38:33 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:38:46 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:57:20 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
13:57:57 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
14:01:13 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
14:02:07 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
14:12:46 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
14:13:14 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
14:20:02 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
14:20:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
14:20:44 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
14:21:24 [AccountInfo] Account connected (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
15:13:02 [AccountInfo] Account disconnected by clear (Account: portuga, IpAddress: 177.39.98.14, GameServerCode: 40)
15:13:03 [AccountInfo] Account disconnected by clear (Account: google780, IpAddress: 177.118.185.138, GameServerCode: 21)
