00:00:42 [AccountInfo] Account disconnected (Account: genobr, IpAddress: 206.84.39.204, GameServerCode: 6)
22:08:34 [AccountInfo] Account disconnected (Account: wall, IpAddress: 38.43.85.93, GameServerCode: 40)
22:08:50 [AccountInfo] Account connected (Account: hard, IpAddress: 38.43.85.93, GameServerCode: 40)
22:08:58 [AccountInfo] Account disconnected (Account: hard, IpAddress: 38.43.85.93, GameServerCode: 40)
22:09:29 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:10:27 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:11:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:12:04 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:12:21 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:13:03 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
22:19:47 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
22:20:02 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 40)
22:28:24 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:30:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:33:11 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:33:22 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:35:07 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
22:35:47 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
23:18:27 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
23:19:00 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
23:19:50 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
23:19:59 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
23:32:13 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
23:32:21 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.93, GameServerCode: 40)
